Дата,Область,Місто,Значення 1,Значення 2,Значення 3,Значення 4,Значення 5,Значення 6,Значення 7,Значення 8,Значення 9,Значення 10,long,lat
19.05.2024,Харківська,Харків,4,0,2,0,2,0,16,0,7,0,"36,3073994","50,0020127"
19.05.2024,Харківська,Вовчанськ,10,0,0,0,10,0,0,0,0,1,"36,9329429","50,284234"
19.05.2024,Харківська,Куп'янськ,1,0,1,0,0,5,9,0,1,0,"37,6027997","49,7055574"
20.05.2024,Харківська,Харків,10,0,0,0,10,0,0,0,0,1,"36,3073994","50,0020127"
20.05.2024,Херсонська,Херсон,2,0,0,0,2,2,2,0,5,0,"32,616867","46,635417"
20.05.2024,Одеська,Одеса,1,0,0,1,0,0,0,0,0,1,"30,7306393","46,4702111"
21.05.2024,Харківська,Харків,5,0,0,5,0,0,0,0,3,0,"36,3073994","50,0020127"
21.05.2024,Харківська,Золочів,5,0,0,0,5,0,0,0,2,1,"35,9760431","50,2690697"
21.05.2024,Херсонська,Херсон,2,0,0,0,2,1,3,0,7,0,"32,616867","46,635417"
21.05.2024,Херсонська,Берислав,2,0,0,0,2,1,5,0,6,0,"33,4273644","46,8433183"
21.05.2024,Сумська,Конотоп,1,0,1,0,0,0,1,0,1,0,"33,2050521","51,2409432"
20.11.2024,Донецька,Костянтинівка,1,0,0,0,1,0,6,0,13,0,"37,7075811","48,5239429"
22.05.2024,Харківська,Чугуїв,1,0,1,0,0,0,7,0,1,1,"36,6813122","49,8363158"
22.05.2024,Сумська,Шостка,1,0,0,1,0,0,0,1,0,0,"33,4966152","51,8757044"
22.05.2024,Сумська,Конотоп,1,0,0,1,0,0,0,1,0,0,"33,2050521","51,2409432"
22.05.2024,Харківська,Харків,2,0,0,0,2,0,8,0,1,0,"36,3073994","50,0020127"
22.05.2024,Дніпропетровська,Дніпро,1,0,1,0,0,0,0,0,0,1,"35,046183","48,464717"
23.05.2024,Харківська,Харків,13,0,11,0,2,7,16,0,3,0,"36,3073994","50,0020127"
23.05.2024,Харківська,Золочів,2,0,2,0,0,0,1,0,1,0,"35,9760431","50,2690697"
23.05.2024,Харківська,Люботин,2,0,2,0,0,0,8,0,1,0,"35,9407539","49,9511113"
23.05.2024,Харківська,Дергачі,2,0,0,0,2,0,13,0,1,1,"36,1155026","50,1097212"
24.05.2024,Харківська,Харків,2,0,2,0,0,0,0,0,2,0,"36,3073994","50,0020127"
24.05.2024,Харківська,Золочів,2,0,2,0,0,0,0,0,1,0,"35,9760431","50,2690697"
24.05.2024,Кіровоградська,Кропивницький,1,1,0,0,0,0,0,0,0,0,"32,2641984","48,5070977"
24.05.2024,Запорізька,Гуляйполе,1,0,0,0,1,0,0,0,1,0,"36,2732384","47,6607145"
25.05.2024,Харківська,Харків,5,0,1,1,3,26,50,0,1,0,"36,3073994","50,0020127"
26.05.2024,Харківська,Чугуїв,1,0,1,0,0,0,1,0,1,0,"36,6813122","49,8363158"
26.05.2024,Хмельницька,Старокостянтинів,3,2,0,1,0,0,7,1,5,2,"27,2121595","49,7546828"
26.05.2024,Харківська,Ізюм,1,0,0,0,1,1,2,0,1,0,"37,2665006","49,2121445"
26.05.2024,Херсонська,Херсон,3,0,0,0,3,0,3,0,7,1,"32,616867","46,635417"
26.05.2024,Миколаївська,Миколаїв,1,0,0,1,0,0,0,0,1,0,"32,003246","46,9660801"
26.05.2024,Запорізька,Запоріжжя,1,1,0,0,0,0,0,0,1,0,"35,1387097","47,8392842"
26.05.2024,Вінницька,Жмеринка,1,0,0,1,0,0,3,0,10,0,"28,1085937","49,0390512"
27.05.2024,Харківська,Харків,23,0,2,0,21,1,15,0,2,0,"36,3073994","50,0020127"
27.05.2024,Миколаївська,Снігурівка,1,1,0,0,0,3,6,0,7,0,"32,8061775","47,07537"
27.05.2024,Херсонська,Херсон,3,0,0,0,3,0,5,0,5,0,"32,616867","46,635417"
28.05.2024,Херсонська,Берислав,3,0,0,0,3,0,0,0,7,0,"33,4273644","46,8433183"
28.05.2024,Миколаївська,Очаків,1,0,0,1,0,0,0,0,1,0,"31,5387942","46,6187667"
28.05.2024,Харківська,Харків,12,0,0,0,12,1,13,0,1,1,"36,3073994","50,0020127"
28.05.2024,Одеська,Одеса,2,0,2,0,0,0,0,0,5,0,"30,7306393","46,4702111"
29.05.2024,Одеська,Одеса,2,2,0,0,0,0,0,0,5,0,"30,7306393","46,4702111"
29.05.2024,Кіровоградська,Кропивницький,1,0,0,1,0,0,0,1,0,0,"32,2641984","48,5070977"
29.05.2024,Херсонська,Херсон,3,0,0,0,3,0,5,0,7,0,"32,616867","46,635417"
29.05.2024,Харківська,Харків,6,0,0,0,6,0,1,0,4,1,"36,3073994","50,0020127"
30.05.2024,Харківська,Харків,6,0,6,0,0,6,25,0,20,1,"36,3073994","50,0020127"
31.05.2024,Одеська,Одеса,2,2,0,0,0,0,0,0,2,0,"30,7306393","46,4702111"
31.05.2024,Київська,Київ,1,0,1,0,0,0,0,0,1,0,"30,5245025","50,4503596"
31.05.2024,Харківська,Вовчанськ,15,0,0,0,15,0,0,0,0,5,"36,9329429","50,284234"
01.06.2024,Одеська,Одеса,2,2,0,0,0,0,0,0,3,0,"30,7306393","46,4702111"
01.06.2024,Івано-Франківська,Бурштин,2,2,0,0,0,0,0,1,0,0,"24,62688","49,2605667"
01.06.2024,Харківська,Балаклія,1,0,1,0,0,0,12,0,5,0,"36,8584805","49,4643925"
01.06.2024,Харківська,Дергачі,5,0,0,0,5,0,0,0,3,1,"36,1155026","50,1097212"
01.06.2024,Херсонська,Херсон,3,0,0,0,3,0,5,0,3,0,"32,616867","46,635417"
01.06.2024,Миколаївська,Вознесенськ,1,1,0,0,0,0,0,1,0,0,"31,336117","47,5605"
01.06.2024,Запорізька,Запоріжжя,4,0,4,0,0,0,0,1,20,0,"35,1387097","47,8392842"
01.06.2024,Дніпропетровська,Дніпро,1,1,0,0,0,0,0,1,0,0,"35,046183","48,464717"
25.12.2024,Донецька,Костянтинівка,1,1,0,0,0,0,0,1,0,0,"37,7075811","48,5239429"
02.06.2024,Одеська,Одеса,2,2,0,0,0,0,0,0,3,0,"30,7306393","46,4702111"
02.06.2024,Херсонська,Херсон,3,0,0,0,3,0,7,0,5,0,"32,616867","46,635417"
02.06.2024,Херсонська,Берислав,2,0,0,0,2,0,5,0,7,0,"33,4273644","46,8433183"
02.06.2024,Харківська,Ізюм,2,0,0,0,2,0,2,0,4,0,"37,2665006","49,2121445"
02.06.2024,Харківська,Вовчанськ,10,0,0,0,10,0,0,0,5,0,"36,9329429","50,284234"
02.06.2024,Харківська,Харків,5,0,5,0,0,9,26,0,10,0,"36,3073994","50,0020127"
03.06.2024,Харківська,Чугуїв,0,0,0,0,0,0,2,0,5,0,"36,6813122","49,8363158"
03.06.2024,Харківська,Вовчанськ,10,0,0,0,10,1,1,0,7,0,"36,9329429","50,284234"
03.06.2024,Одеська,Одеса,1,0,1,0,0,0,0,0,2,0,"30,7306393","46,4702111"
04.06.2024,Дніпропетровська,Дніпро,2,0,2,0,0,0,8,0,64,0,"35,046183","48,464717"
04.06.2024,Харківська,Куп'янськ,1,0,0,0,1,0,1,0,2,0,"37,6027997","49,7055574"
04.06.2024,Харківська,Харків,1,0,1,0,0,0,1,0,0,1,"36,3073994","50,0020127"
04.06.2024,Харківська,Чугуїв,1,0,0,0,1,0,0,0,4,0,"36,6813122","49,8363158"
04.06.2024,Сумська,Конотоп,1,0,1,0,0,0,1,0,1,0,"33,2050521","51,2409432"
05.06.2024,Одеська,Білгород-Дністровський,1,1,0,0,0,0,0,0,1,0,"30,3414908","46,1854516"
05.06.2024,Харківська,Дергачі,1,0,0,0,1,0,0,0,3,0,"36,1155026","50,1097212"
05.06.2024,Харківська,Вовчанськ,5,0,0,0,5,0,1,0,1,0,"36,9329429","50,284234"
05.06.2024,Харківська,Чугуїв,5,0,0,0,5,0,0,0,1,0,"36,6813122","49,8363158"
05.06.2024,Донецька,Селідове,2,0,0,0,2,0,6,0,13,0,"37,297136","48,1475145"
06.06.2024,Харківська,Ізюм,1,0,0,0,1,0,2,0,0,0,"37,2665006","49,2121445"
06.06.2024,Дніпропетровська,Дніпро,2,0,2,0,0,0,0,0,0,0,"35,046183","48,464717"
07.06.2024,Київська,Київ,1,0,0,1,0,0,0,0,1,0,"30,5245025","50,4503596"
07.06.2024,Харківська,Чугуїв,3,0,0,3,0,0,0,0,0,0,"36,6813122","49,8363158"
08.06.2024,Дніпропетровська,Нікополь,2,0,0,2,0,1,1,0,9,0,"34,394815","47,56746"
08.06.2024,Херсонська,Херсон,3,0,0,0,3,1,4,0,5,0,"32,616867","46,635417"
08.06.2024,Харківська,Куп'янськ,3,0,0,1,2,1,1,0,5,0,"37,6027997","49,7055574"
09.06.2024,Харківська,Дергачі,2,0,0,0,2,0,1,0,4,0,"36,1155026","50,1097212"
09.06.2024,Харківська,Куп'янськ,2,0,0,0,2,1,3,0,2,2,"37,6027997","49,7055574"
09.06.2024,Харківська,Харків,3,0,0,0,3,0,0,0,5,0,"36,3073994","50,0020127"
06.01.2024,Донецька,Покровськ,8,0,8,0,0,12,10,0,3,0,"37,1847804","48,282193"
10.06.2024,Харківська,Золочів,3,0,0,0,3,0,0,0,3,0,"35,9760431","50,2690697"
10.06.2024,Харківська,Чугуїв,2,0,0,0,2,0,0,0,1,0,"36,6813122","49,8363158"
10.06.2024,Харківська,Харків,3,0,0,0,3,1,7,0,136,0,"36,3073994","50,0020127"
10.06.2024,Херсонська,Берислав,2,0,0,0,2,0,3,0,7,0,"33,4273644","46,8433183"
11.06.2024,Миколаївська,Миколаїв,2,0,0,2,0,0,0,0,5,0,"32,003246","46,9660801"
11.06.2024,Донецька,Сіверськ,1,0,0,0,1,0,0,0,1,0,"38,1047909","48,873935"
12.06.2024,Херсонська,Херсон,1,0,0,1,0,0,0,0,0,1,"32,616867","46,635417"
12.06.2024,Київська,Васильків,1,0,1,0,0,0,1,0,1,0,"30,3196385","50,1770891"
12.06.2024,Одеська,Затока,1,1,0,0,0,0,0,0,5,0,"30,4528371","46,0662541"
12.06.2024,Дніпропетровська,Кривий Ріг,1,1,0,0,0,13,29,0,44,0,"33,391783","47,910483"
13.06.2024,Харківська,Куп'янськ,5,0,0,0,5,0,0,0,10,0,"37,6027997","49,7055574"
13.06.2024,Харківська,Чугуїв,10,0,0,0,10,0,15,0,10,0,"36,6813122","49,8363158"
14.06.2024,Харківська,Ізюм,2,0,0,0,2,0,2,0,3,0,"37,2665006","49,2121445"
14.06.2024,Харківська,Куп'янськ,1,0,0,0,1,1,0,0,2,0,"37,6027997","49,7055574"
14.06.2024,Харківська,Чугуїв,1,0,0,0,1,0,0,0,2,0,"36,6813122","49,8363158"
15.06.2024,Сумська,Білопілля,12,0,0,0,12,0,0,0,2,0,"34,3175225","51,149402"
15.06.2024,Харківська,Куп'янськ,3,0,0,0,3,0,1,0,3,0,"37,6027997","49,7055574"
16.06.2024,Сумська,Краснопілля,16,0,0,0,16,0,0,0,0,5,"35,267666","50,7671084"
16.06.2024,Харківська,Ізюм,2,0,0,0,2,0,3,0,1,0,"37,2665006","49,2121445"
17.06.2024,Одеська,Одеса,1,1,0,0,0,0,0,0,1,0,"30,7306393","46,4702111"
17.06.2024,Харківська,Харків,2,0,0,0,2,0,0,0,0,1,"36,3073994","50,0020127"
17.06.2024,Полтавська,Полтава,1,0,1,0,0,0,0,1,0,5,"34,551417","49,588267"
18.06.2024,Харківська,Ізюм,2,0,0,0,2,0,1,0,3,0,"37,2665006","49,2121445"
18.06.2024,Харківська,Дергачі,2,0,0,0,2,0,1,0,11,0,"36,1155026","50,1097212"
19.06.2024,Львівська,Львів,5,0,0,5,0,0,2,0,20,0,"24,029717","49,839683"
20.06.2024,Харківська,Харків,5,0,0,0,5,1,1,0,6,1,"36,3073994","50,0020127"
20.06.2024,Харківська,Куп'янськ,2,0,0,0,2,0,1,0,2,0,"37,6027997","49,7055574"
21.06.2024,Одеська,Одеса,2,2,0,0,0,0,0,0,2,0,"30,7306393","46,4702111"
21.06.2024,Запорізька,Запоріжжя,2,0,0,0,2,1,2,0,2,0,"35,1387097","47,8392842"
22.06.2024,Львівська,Стрий,2,2,0,0,0,0,0,1,0,0,"23,8431343","49,2656076"
22.06.2024,Волинська,Луцьк,2,2,0,0,0,0,0,0,4,0,"25,3299206","50,7518548"
22.06.2024,Івано-Франківська,Івано-Франківськ,2,2,0,0,0,0,0,0,6,0,"24,7089157","48,9200616"
22.06.2024,Харківська,Харків,4,0,0,0,4,3,56,1,40,2,"36,3073994","50,0020127"
22.06.2024,Запорізька,Запоріжжя,1,0,1,0,0,1,1,1,0,0,"35,1387097","47,8392842"
23.06.2024,Харківська,Харків,5,0,2,0,3,0,0,0,0,0,"36,3073994","50,0020127"
23.06.2024,Донецька,Селідове,2,0,0,0,2,0,5,0,30,0,"37,297136","48,1475145"
24.06.2024,Харківська,Харків,0,0,0,0,0,0,0,0,0,0,"36,3073994","50,0020127"
20.01.2024,Донецька,Покровськ,3,0,3,0,0,0,2,0,58,0,"37,1847804","48,282193"
24.06.2024,Одеська,Одеса,2,0,2,0,0,0,5,0,1,0,"30,7306393","46,4702111"
25.06.2024,Харківська,Харків,3,0,0,0,3,0,0,1,10,0,"36,3073994","50,0020127"
25.06.2024,Харківська,Куп'янськ,10,0,0,0,10,0,0,0,10,0,"37,6027997","49,7055574"
25.06.2024,Харківська,Вовчанськ,10,0,0,0,10,0,0,0,0,0,"36,9329429","50,284234"
25.06.2024,Одеська,Білгород-Дністровський,1,1,0,0,0,0,0,0,0,1,"30,3414908","46,1854516"
25.06.2024,Миколаївська,Вознесенськ,1,1,0,0,0,0,0,0,5,0,"31,336117","47,5605"
26.06.2024,Херсонська,Берислав,2,1,0,1,0,1,15,1,19,0,"33,4273644","46,8433183"
26.06.2024,Харківська,Дергачі,3,0,0,0,3,0,9,1,1,0,"36,1155026","50,1097212"
27.06.2024,Хмельницька,Старокостянтинів,1,1,0,0,0,0,0,0,0,1,"27,2121595","49,7546828"
27.06.2024,Харківська,Харків,3,0,0,0,3,0,0,0,0,2,"36,3073994","50,0020127"
28.06.2024,Харківська,Харків,4,0,0,0,4,0,8,0,4,1,"36,3073994","50,0020127"
28.06.2024,Дніпропетровська,Дніпро,1,1,0,0,0,3,12,0,12,0,"35,046183","48,464717"
28.06.2024,Донецька,Селідове,1,0,0,0,1,0,6,0,16,0,"37,297136","48,1475145"
28.06.2024,Одеська,Одеса,1,0,1,0,0,0,0,0,2,0,"30,7306393","46,4702111"
29.06.2024,Харківська,Дергачі,4,0,0,0,4,0,3,0,15,0,"36,1155026","50,1097212"
29.06.2024,Харківська,Куп'янськ,2,0,0,0,2,0,1,0,2,0,"37,6027997","49,7055574"
29.06.2024,Запорізька,Вільнянськ,1,1,0,0,0,7,38,0,4,0,"35,4328125","47,9403226"
30.06.2024,Київська,Київ,1,1,0,0,0,0,2,0,1,0,"30,5245025","50,4503596"
30.06.2024,Харківська,Харків,2,0,0,0,2,1,10,0,3,1,"36,3073994","50,0020127"
01.07.2024,Полтавська,Миргород,2,0,2,0,0,0,0,0,0,1,"33,6053331","49,9627279"
01.07.2024,Харківська,Дергачі,2,0,0,0,2,0,0,0,1,0,"36,1155026","50,1097212"
01.07.2024,Харківська,Харків,2,0,0,0,2,0,0,0,2,0,"36,3073994","50,0020127"
01.07.2024,Миколаївська,Миколаїв,1,1,0,0,0,0,0,0,3,0,"32,003246","46,9660801"
01.07.2024,Херсонська,Берислав,2,0,0,0,2,0,3,0,7,0,"33,4273644","46,8433183"
01.07.2024,Дніпропетровська,Дніпро,1,1,0,0,0,0,7,0,102,0,"35,046183","48,464717"
02.07.2024,Харківська,Харків,3,0,0,0,3,0,3,0,4,0,"36,3073994","50,0020127"